countyName,districtName,totalAssessedValue,totalSecuredAssessedValue
074 Fannin CAD ,074-909/Leonard ISD                        ,7890092,7889432
074 Fannin CAD ,074-911/Savoy ISD                          ,82000315,76292455
074 Fannin CAD ,074-912/Trenton ISD                        ,6121985,5619256
074 Fannin CAD ,074-917/Sam Rayburn ISD                    ,95481637,92244997
074 Fannin CAD ,091-910/Whitewright ISD                    ,4162271,4162271
074 Fannin CAD ,116-909/Wolfe City ISD                     ,4889131,4858571
074 Fannin CAD ,139-911/North Lamar ISD                    ,1896490,1896490
075 Fayette CAD ,011-904/Smithville ISD                     ,620870689,587259310
075 Fayette CAD ,045-905/Weimar ISD                         ,319878788,281219088
075 Fayette CAD ,075-901/Flatonia ISD                       ,473109103,413696633
075 Fayette CAD ,075-902/La Grange ISD                      ,1034156410,932763600
075 Fayette CAD ,075-903/Schulenburg ISD                    ,422738962,332683072
075 Fayette CAD ,075-906/Fayetteville ISD                   ,170092859,166228619
075 Fayette CAD ,075-908/Round Top-Carmine ISD              ,329978429,322107489
075 Fayette CAD ,144-901/Giddings ISD                       ,10327240,10140530
076 Fisher CAD ,076-903/Roby ISD                           ,110444730,107150490
076 Fisher CAD ,076-904/Rotan ISD                          ,97617320,83146420
076 Fisher CAD ,127-903/Hamlin ISD                         ,62991289,62738929
076 Fisher CAD ,177-901/Roscoe ISD                         ,16611555,16559595
076 Fisher CAD ,177-902/Sweetwater ISD                     ,52477192,50417332
076 Fisher CAD ,208-901/Hermleigh ISD                      ,25235890,25199230
076 Fisher CAD ,221-905/Trent ISD                          ,22979069,22839949
077 Floyd CAD ,077-901/Floydada ISD                       ,267422845,253272145
077 Floyd CAD ,077-902/Lockney ISD                        ,105013328,87485238
077 Floyd CAD ,095-904/Petersburg ISD                     ,1171321,1171321
077 Floyd CAD ,095-905/Plainview ISD                      ,3355690,3340790
077 Floyd CAD ,096-905/Turkey-Quitaque ISD                ,27666734,26677494
077 Floyd CAD ,173-901/Motley County ISD                  ,1664306,1612516
078 Foard CAD ,078-901/Crowell ISD                        ,165037300,162645150
078 Foard CAD ,244-903/Vernon ISD                         ,1135930,1127480
079 Fort Bend CAD ,008-903/Brazos ISD                         ,89654338,79574876
079 Fort Bend CAD ,079-901/Lamar CISD                         ,11674673116,10594937854
079 Fort Bend CAD ,079-906/Needville ISD                      ,686512726,654383943
079 Fort Bend CAD ,079-907/Fort Bend ISD                      ,28342487607,26170947709
079 Fort Bend CAD ,079-910/Stafford MSD                       ,2191345814,1317780744
079 Fort Bend CAD ,101-914/Katy ISD                           ,11329510791,11090068911
080 Franklin CAD ,080-901/Mount Vernon ISD                   ,973698021,865500251
080 Franklin CAD ,112-909/Saltillo ISD                       ,1068202,1065782
080 Franklin CAD ,112-910/Sulphur Bluff ISD                  ,3492337,3473917
080 Franklin CAD ,194-903/Rivercrest ISD                     ,25993079,25900639
080 Franklin CAD ,250-907/Winnsboro ISD                      ,72991234,70632114
081 Freestone CAD ,081-902/Fairfield ISD                      ,1559432192,1372165283
081 Freestone CAD ,081-904/Teague ISD                         ,937449416,823306620
081 Freestone CAD ,081-905/Wortham ISD                        ,114831062,106246661
081 Freestone CAD ,081-906/Dew ISD                            ,198497224,178369378
081 Freestone CAD ,145-901/Buffalo ISD                        ,75649098,62761769
081 Freestone CAD ,145-907/Oakwood ISD                        ,31518401,28036821
081 Freestone CAD ,147-903/Mexia ISD                          ,2392481,2287110
081 Freestone CAD ,175-903/Corsicana ISD                      ,1559870,1486566
082 Frio CAD ,007-901/Charlotte ISD                      ,258055059,182918959
082 Frio CAD ,082-902/Dilley ISD                         ,453151040,320305320
082 Frio CAD ,082-903/Pearsall ISD                       ,1448249952,1010265462
082 Frio CAD ,163-901/Devine ISD                         ,41519033,35165293
082 Frio CAD ,163-904/Hondo ISD                          ,10406894,10223814
083 Gaines CAD ,083-901/Seagraves ISD                      ,206625374,162310714
083 Gaines CAD ,083-902/Loop ISD                           ,473446845,444927295
083 Gaines CAD ,083-903/Seminole ISD                       ,5676592503,5403501695
083 Gaines CAD ,223-904/Wellman-Union CISD                 ,1176362,1158042
084 Galveston CAD ,084-901/Dickinson ISD                      ,2919991361,2506219356
084 Galveston CAD ,084-902/Galveston ISD                      ,5724688951,5311332618
084 Galveston CAD ,084-903/High Island ISD                    ,95400945,93832735
084 Galveston CAD ,084-904/La Marque ISD                      ,1480387575,1321107033
084 Galveston CAD ,084-906/Texas City ISD                     ,4025967179,2921479716
084 Galveston CAD ,084-908/Hitchcock ISD                      ,529965282,497000181
084 Galveston CAD ,084-909/Santa Fe ISD                       ,1102375684,1044099499
084 Galveston CAD ,084-910/Clear Creek ISD                    ,5588350312,5353076854
084 Galveston CAD ,084-911/Friendswood ISD                    ,1312746,1309926
085 Garza CAD ,054-901/Crosbyton CISD                     ,86347685,77077322
085 Garza CAD ,085-902/Post ISD                           ,855605490,788087857
085 Garza CAD ,085-903/Southland ISD                      ,67374459,66608896
086 Gillespie CAD ,086-901/Fredericksburg ISD                 ,5676488,5083818
086 Gillespie CAD ,086-902/Harper ISD                         ,295339686,291752636
086 Gillespie CAD ,086-024/Doss CCSD                          ,31506650,30978010
087 Glasscock CAD ,087-901/Glasscock County ISD               ,3580639779,3371667378
088 Goliad CAD ,088-902/Goliad ISD                         ,1073291394,967932184
089 Gonzales CAD ,062-901/Cuero ISD                          ,1609950618,1480634778
089 Gonzales CAD ,062-903/Yoakum ISD                         ,525776486,465991016
089 Gonzales CAD ,089-901/Gonzales ISD                       ,22233144,21510054
089 Gonzales CAD ,089-903/Nixon-Smiley CISD                  ,1645246819,1569044469
089 Gonzales CAD ,089-905/Waelder ISD                        ,16260286,15502786
089 Gonzales CAD ,143-902/Moulton ISD                        ,162409493,154555293
089 Gonzales CAD ,143-903/Shiner ISD                         ,355113420,353764250
090 Gray CAD ,033-901/Groom ISD                          ,1224800,1224800
090 Gray CAD ,033-904/White Deer ISD                     ,372565218,359034088
090 Gray CAD ,090-902/Lefors ISD                         ,192556163,187348943
090 Gray CAD ,090-903/McLean ISD                         ,720860,720860
090 Gray CAD ,090-904/Pampa ISD                          ,1211595181,802311921
090 Gray CAD ,090-905/Grandview-Hopkins ISD              ,148532656,147886126
090 Gray CAD ,197-902/Miami ISD                          ,11070150,11037610
090 Gray CAD ,242-903/Wheeler ISD                        ,1636420,1628920
090 Gray CAD ,242-906/Fort Elliott CISD                  ,2797459,2786889
091 Grayson CAD ,043-903/Celina ISD                         ,737026737,709144490
091 Grayson CAD ,061-903/Pilot Point ISD                    ,98595905,97880143
091 Grayson CAD ,074-912/Trenton ISD                        ,6121985,5619256
091 Grayson CAD ,091-901/Bells ISD                          ,188203714,143342181
091 Grayson CAD ,091-902/Collinsville ISD                   ,1421015,1374396
091 Grayson CAD ,091-903/Denison ISD                        ,1355945727,1123450768
091 Grayson CAD ,091-905/Howe ISD                           ,211444981,199229666
091 Grayson CAD ,091-906/Sherman ISD                        ,2622939385,2038303940
091 Grayson CAD ,091-907/Tioga ISD                          ,74737506,72734091
091 Grayson CAD ,091-908/Van Alstyne ISD                    ,33285963,32702496
091 Grayson CAD ,091-909/Whitesboro ISD                     ,53285796,51517843
091 Grayson CAD ,091-910/Whitewright ISD                    ,4162271,4162271
091 Grayson CAD ,091-913/Pottsboro ISD                      ,729430427,603149741
091 Grayson CAD ,091-914/Sadler-Southmayd ISD               ,372793874,337975525
091 Grayson CAD ,091-917/Gunter ISD                         ,473481,473481
091 Grayson CAD ,091-918/Tom Bean ISD                       ,167044486,160625067
092 Gregg CAD ,092-901/Gladewater ISD                     ,315377279,280133289
092 Gregg CAD ,092-902/Kilgore ISD                        ,1233510804,548217933
092 Gregg CAD ,092-903/Longview ISD                       ,4010904461,2922286137
092 Gregg CAD ,092-904/Pine Tree ISD                      ,1623819257,1198088692
092 Gregg CAD ,092-906/Sabine ISD                         ,464983991,285350301
092 Gregg CAD ,092-907/Spring Hill ISD                    ,512957730,500024080
092 Gregg CAD ,092-908/White Oak ISD                      ,395652256,337042341
093 Grimes CAD ,093-901/Anderson-Shiro CISD                ,506168472,366459160
093 Grimes CAD ,093-903/Iola ISD                           ,299628329,288731568
093 Grimes CAD ,093-904/Navasota ISD                       ,137595260,112995510
093 Grimes CAD ,093-905/Richards ISD                       ,71834511,68645018
093 Grimes CAD ,154-901/Madisonville CISD                  ,84833436,73350541
094 Guadalupe CAD ,028-903/Luling ISD                         ,417312417,372834997
094 Guadalupe CAD ,028-906/Prairie Lea ISD                    ,103303656,97049496
094 Guadalupe CAD ,046-901/New Braunfels ISD                  ,2863171158,2663838873
094 Guadalupe CAD ,046-902/Comal ISD                          ,2226567254,2205038859
094 Guadalupe CAD ,089-903/Nixon-Smiley CISD                  ,1645246819,1569044469
094 Guadalupe CAD ,094-901/Seguin ISD                         ,2829967917,2202302062
094 Guadalupe CAD ,094-902/Schertz-Cibolo-Universal City ISD  ,365129781,345736352
094 Guadalupe CAD ,094-903/Navarro ISD                        ,637517689,487032861
094 Guadalupe CAD ,094-904/Marion ISD                         ,625973705,570788872
094 Guadalupe CAD ,105-902/San Marcos CISD                    ,123385748,100066568
094 Guadalupe CAD ,247-903/La Vernia ISD                      ,63844604,59676225
095 Hale CAD ,077-902/Lockney ISD                        ,105013328,87485238
095 Hale CAD ,095-901/Abernathy ISD                      ,526295873,475305948
095 Hale CAD ,095-902/Cotton Center ISD                  ,49724317,46824958
095 Hale CAD ,095-903/Hale Center ISD                    ,101204942,94251010
095 Hale CAD ,095-904/Petersburg ISD                     ,1171321,1171321
095 Hale CAD ,095-905/Plainview ISD                      ,3355690,3340790
095 Hale CAD ,140-905/Olton ISD                          ,25138767,24375448
096 Hall CAD ,038-901/Childress ISD                      ,331540262,302186264
096 Hall CAD ,096-904/Memphis ISD                        ,4386275,4386275
096 Hall CAD ,096-905/Turkey-Quitaque ISD                ,27666734,26677494
097 Hamilton CAD ,018-908/Cranfills Gap ISD                  ,60223719,57991218
097 Hamilton CAD ,050-901/Evant ISD                          ,54939675,51351315
097 Hamilton CAD ,050-909/Jonesboro ISD                      ,638322,631272
097 Hamilton CAD ,097-902/Hamilton ISD                       ,9207379,9114789
097 Hamilton CAD ,097-903/Hico ISD                           ,8324115,8176258
097 Hamilton CAD ,167-901/Goldthwaite ISD                    ,5936494,5877474
098 Hansford CAD ,098-901/Gruver ISD                         ,335041962,317728725
098 Hansford CAD ,098-903/Pringle-Morse CISD                 ,25365339,23139207
098 Hansford CAD ,098-904/Spearman ISD                       ,244499971,219652714
098 Hansford CAD ,211-901/Texhoma ISD                        ,2641858,2641858
099 Hardeman CAD ,038-901/Childress ISD                      ,331540262,302186264
099 Hardeman CAD ,099-902/Chillicothe ISD                    ,91300806,86363056
099 Hardeman CAD ,099-903/Quanah ISD                         ,2690430,2676930
100 Hardin CAD ,100-903/Kountze ISD                        ,397587498,363983038
100 Hardin CAD ,100-904/Silsbee ISD                        ,774795306,643405116
100 Hardin CAD ,100-905/Hardin-Jefferson ISD               ,389142264,320955874
100 Hardin CAD ,100-907/Lumberton ISD                      ,1036205472,968165962
100 Hardin CAD ,100-908/West Hardin CISD                   ,215224377,196874177
100 Hardin CAD ,229-904/Warren ISD                         ,56868440,54735650
101 Harris CAD ,020-908/Pearland ISD                       ,5922928184,5416109975
101 Harris CAD ,079-910/Stafford MSD                       ,2191345814,1317780744
101 Harris CAD ,084-910/Clear Creek ISD                    ,5588350312,5353076854
101 Harris CAD ,101-902/Aldine ISD                         ,16845108455,8475852854
101 Harris CAD ,101-903/Alief ISD                          ,12772242579,11423344113
101 Harris CAD ,101-905/Channelview ISD                    ,2729965755,1537304232
101 Harris CAD ,101-906/Crosby ISD                         ,1532841385,1161731497
101 Harris CAD ,101-907/Cypress-Fairbanks ISD              ,43401546250,33456952416
101 Harris CAD ,101-908/Deer Park ISD                      ,7943529206,5286150321
101 Harris CAD ,101-910/Galena Park ISD                    ,7608584360,3533055154
101 Harris CAD ,101-911/Goose Creek CISD                   ,2724775906,1967124680
101 Harris CAD ,101-912/Houston ISD                        ,140649127512,124150862891
101 Harris CAD ,101-913/Humble ISD                         ,11982983131,11328144731
101 Harris CAD ,101-914/Katy ISD                           ,11329510791,11090068911
101 Harris CAD ,101-915/Klein ISD                          ,15519442559,13829474366
101 Harris CAD ,101-916/La Porte ISD                       ,640360,640360
101 Harris CAD ,101-917/Pasadena ISD                       ,11225867740,9283150511
101 Harris CAD ,101-919/Spring ISD                         ,9069095371,7823376693
101 Harris CAD ,101-920/Spring Branch ISD                  ,25341556077,23431922946
101 Harris CAD ,101-921/Tomball ISD                        ,7176828562,6303039138
101 Harris CAD ,101-924/Sheldon ISD                        ,5011363912,1806954591
101 Harris CAD ,101-925/Huffman ISD                        ,905686595,868544046
101 Harris CAD ,146-902/Dayton ISD                         ,3205608,2697826
101 Harris CAD ,170-908/New Caney ISD                      ,59075308,58776689
101 Harris CAD ,237-904/Waller ISD                         ,764050911,612553183
102 Harrison CAD ,102-901/Karnack ISD                        ,232118014,224158734
102 Harrison CAD ,102-902/Marshall ISD                       ,2688883524,1959649824
102 Harrison CAD ,102-903/Waskom ISD                         ,430651301,288639831
102 Harrison CAD ,102-904/Hallsville ISD                     ,2507145862,1835368432
102 Harrison CAD ,102-905/Harleton ISD                       ,168081547,160991117
102 Harrison CAD ,102-906/Elysian Fields ISD                 ,294930442,277614982
102 Harrison CAD ,230-903/Ore City ISD                       ,2533071,2452221
102 Harrison CAD ,230-906/New Diana ISD                      ,6483617,6314597
103 Hartley CAD ,056-901/Dalhart CISD                       ,413061840,146705630
103 Hartley CAD ,103-901/Channing ISD                       ,124585133,116981323
103 Hartley CAD ,103-902/Hartley ISD                        ,162828182,144965382
104 Haskell CAD ,104-901/Haskell CISD                       ,171276869,154726669
104 Haskell CAD ,104-903/Rule ISD                           ,43225122,39090662
104 Haskell CAD ,104-907/Paint Creek ISD                    ,99578415,93392235
104 Haskell CAD ,127-906/Stamford ISD                       ,8389077,5316087
104 Haskell CAD ,138-902/Knox City-O'Brien CISD             ,32251117,30609607
104 Haskell CAD ,138-903/Munday ISD                         ,1637640,1637640
105 Hays CAD ,016-901/Johnson City ISD                   ,550331008,517216548
105 Hays CAD ,016-902/Blanco ISD                         ,581601652,562183872
105 Hays CAD ,046-902/Comal ISD                          ,2226567254,2205038859
105 Hays CAD ,105-902/San Marcos CISD                    ,123385748,100066568
105 Hays CAD ,105-904/Dripping Springs ISD               ,3083532710,3018594189
105 Hays CAD ,105-905/Wimberley ISD                      ,1178875,1178875
105 Hays CAD ,105-906/Hays CISD                          ,26099640,24835250
106 Hemphill CAD ,106-901/Canadian ISD                       ,1714149596,1581238746
106 Hemphill CAD ,148-901/Booker ISD                         ,561090,561090
106 Hemphill CAD ,242-906/Fort Elliott CISD                  ,2797459,2786889
107 Henderson CAD ,001-904/Frankston ISD                      ,178888804,154723683
107 Henderson CAD ,107-901/Athens ISD                         ,4301700,4041981
107 Henderson CAD ,107-902/Brownsboro ISD                     ,657093892,628565153
107 Henderson CAD ,107-904/Crossroads ISD                     ,257654751,161226510
107 Henderson CAD ,107-905/Eustace ISD                        ,550662698,540415923
107 Henderson CAD ,107-906/Malakoff ISD                       ,1087111446,1043783361
107 Henderson CAD ,107-907/Trinidad ISD                       ,41987137,25673594
107 Henderson CAD ,107-908/Murchison ISD                      ,39472170,36579789
107 Henderson CAD ,107-910/La Poynor ISD                      ,42403331,39683695
107 Henderson CAD ,129-904/Kemp ISD                           ,92898856,89840309
107 Henderson CAD ,129-905/Mabank ISD                         ,772917816,722725499
107 Henderson CAD ,234-906/Van ISD                            ,11427656,11144216
108 Hidalgo CAD ,108-902/Donna ISD                          ,1129756859,1023138034
108 Hidalgo CAD ,108-903/Edcouch-Elsa ISD                   ,276169970,260412663
108 Hidalgo CAD ,108-904/Edinburg CISD                      ,5241210282,4691916686
108 Hidalgo CAD ,108-905/Hidalgo ISD                        ,420809061,247319125
108 Hidalgo CAD ,108-906/McAllen CISD                       ,6244327714,5388432824
108 Hidalgo CAD ,108-907/Mercedes ISD                       ,485355883,401483727
108 Hidalgo CAD ,108-908/Mission CISD                       ,1719089903,1557412248
108 Hidalgo CAD ,108-909/Pharr-San Juan-Alamo ISD           ,3817492470,3317133813
108 Hidalgo CAD ,108-910/Progreso ISD                       ,141488521,131571090
108 Hidalgo CAD ,108-911/Sharyland ISD                      ,2734660448,2388737586
108 Hidalgo CAD ,108-912/La Joya ISD                        ,2109656658,1969614331
108 Hidalgo CAD ,108-913/Weslaco ISD                        ,2007023526,1715589718
108 Hidalgo CAD ,108-914/La Villa ISD                       ,101377650,88684282
108 Hidalgo CAD ,108-915/Monte Alto ISD                     ,84931003,67433335
108 Hidalgo CAD ,108-916/Valley View ISD                    ,460800195,415971079
108 Hidalgo CAD ,245-902/Lyford CISD                        ,10561822,10511213
109 Hill CAD ,070-909/Milford ISD                        ,53998935,49811193
109 Hill CAD ,109-901/Abbott ISD                         ,88122036,51798536
109 Hill CAD ,109-902/Bynum ISD                          ,68064806,55083006
109 Hill CAD ,109-903/Covington ISD                      ,79255016,75506206
109 Hill CAD ,109-904/Hillsboro ISD                      ,552373535,413166115
109 Hill CAD ,109-905/Hubbard ISD                        ,66354297,62640487
109 Hill CAD ,109-907/Itasca ISD                         ,173517225,149140815
109 Hill CAD ,109-908/Malone ISD                         ,42628230,27096740
109 Hill CAD ,109-910/Mount Calm ISD                     ,23521439,22196469
109 Hill CAD ,109-911/Whitney ISD                        ,558525334,517819014
109 Hill CAD ,109-912/Aquilla ISD                        ,72816522,59339742
109 Hill CAD ,109-913/Blum ISD                           ,111334299,100766669
109 Hill CAD ,109-914/Penelope ISD                       ,25163815,20970585
109 Hill CAD ,126-904/Grandview ISD                      ,5853822,5729522
109 Hill CAD ,126-907/Rio Vista ISD                      ,2224566,2202886
109 Hill CAD ,161-916/West ISD                           ,6029302,5734282
109 Hill CAD ,161-918/Axtell ISD                         ,528540,528540
109 Hill CAD ,175-904/Dawson ISD                         ,2183460,664840
109 Hill CAD ,175-905/Frost ISD                          ,2236337,2235257
110 Hockley CAD ,040-902/Whiteface-Bledsoe CISD             ,747139980,735927845
110 Hockley CAD ,110-901/Anton ISD                          ,44893413,42916053
110 Hockley CAD ,110-902/Levelland ISD                      ,1868793672,1640175102
110 Hockley CAD ,110-905/Ropes ISD                          ,88415077,83557747
110 Hockley CAD ,110-906/Smyer ISD                          ,141213218,138741218
110 Hockley CAD ,110-907/Sundown ISD                        ,1583944464,1542781654
110 Hockley CAD ,110-908/Whitharral ISD                     ,81374450,80113200
110 Hockley CAD ,152-907/Frenship ISD                       ,4315736,4198086
111 Hood CAD ,072-904/Bluff Dale ISD                     ,117894832,112380512
111 Hood CAD ,111-901/Granbury ISD                       ,4465835507,4160516747
111 Hood CAD ,111-902/Lipan ISD                          ,24397567,24212287
111 Hood CAD ,111-903/Tolar ISD                          ,200913607,185942927
111 Hood CAD ,126-911/Godley ISD                         ,96178539,96140969
111 Hood CAD ,213-901/Glen Rose ISD                      ,141082755,114045105
112 Hopkins CAD ,080-901/Mount Vernon ISD                   ,973698021,865500251
112 Hopkins CAD ,112-901/Sulphur Springs ISD                ,1187413873,883413006
112 Hopkins CAD ,112-905/Cumby ISD                          ,60135644,56218674
112 Hopkins CAD ,112-906/North Hopkins ISD                  ,102595138,94737831
112 Hopkins CAD ,112-907/Miller Grove ISD                   ,50015175,47747425
112 Hopkins CAD ,112-908/Como-Pickton ISD                   ,150445765,140208987
112 Hopkins CAD ,112-909/Saltillo ISD                       ,1068202,1065782
112 Hopkins CAD ,112-910/Sulphur Bluff ISD                  ,3492337,3473917
112 Hopkins CAD ,250-905/Yantis ISD                         ,3367158,3052908
112 Hopkins CAD ,250-907/Winnsboro ISD                      ,72991234,70632114
113 Houston CAD ,001-903/Elkhart ISD                        ,302731988,276685434
113 Houston CAD ,113-901/Crockett ISD                       ,420051080,364941140
113 Houston CAD ,113-902/Grapeland ISD                      ,264168444,234392754
113 Houston CAD ,113-903/Lovelady ISD                       ,445957253,400956253
113 Houston CAD ,113-905/Latexo ISD                         ,148481477,121917677
113 Houston CAD ,113-906/Kennard ISD                        ,113106315,104207885
113 Houston CAD ,228-901/Groveton ISD                       ,9779128,9455808
114 Howard CAD ,017-901/Borden County ISD                  ,926440027,916697077
114 Howard CAD ,058-909/Sands ISD                          ,31065960,31065960
114 Howard CAD ,114-901/Big Spring ISD                     ,1886935798,1500826876
114 Howard CAD ,114-902/Coahoma ISD                        ,526633189,503677951
114 Howard CAD ,114-904/Forsan ISD                         ,794629321,775031865
114 Howard CAD ,156-902/Stanton ISD                        ,112785564,111787762
115 Hudspeth CAD ,055-901/Culberson-Allamore ISD             ,556394751,487024931
115 Hudspeth CAD ,115-901/Fort Hancock ISD                   ,186572568,177036179
115 Hudspeth CAD ,115-902/Sierra Blanca ISD                  ,97126373,89340376
115 Hudspeth CAD ,115-903/Dell City ISD                      ,60447551,55861571
116 Hunt CAD ,043-918/Community ISD                      ,526733870,513820642
116 Hunt CAD ,060-902/Cooper ISD                         ,175749751,166118911
116 Hunt CAD ,060-914/Fannindel ISD                      ,12833640,12148490
116 Hunt CAD ,074-909/Leonard ISD                        ,7890092,7889432
116 Hunt CAD ,112-905/Cumby ISD                          ,60135644,56218674
116 Hunt CAD ,116-901/Caddo Mills ISD                    ,367028167,286407295
116 Hunt CAD ,116-902/Celeste ISD                        ,84960516,83227551
116 Hunt CAD ,116-903/Commerce ISD                       ,1953205,1953205
116 Hunt CAD ,116-905/Greenville ISD                     ,1738603593,1195164848
116 Hunt CAD ,116-906/Lone Oak ISD                       ,203740514,197313490
116 Hunt CAD ,116-908/Quinlan ISD                        ,663168635,626408309
116 Hunt CAD ,116-909/Wolfe City ISD                     ,4889131,4858571
116 Hunt CAD ,116-910/Campbell ISD                       ,80143877,76130781
116 Hunt CAD ,116-915/Bland ISD                          ,6855989,6733178
116 Hunt CAD ,116-916/Boles Home ISD                     ,15329440,15043840
116 Hunt CAD ,129-906/Terrell ISD                        ,63178199,62803269
116 Hunt CAD ,199-902/Royse City ISD                     ,92042732,81767232
117 Hutchinson CAD ,098-903/Pringle-Morse CISD                 ,25365339,23139207
117 Hutchinson CAD ,098-904/Spearman ISD                       ,244499971,219652714
117 Hutchinson CAD ,117-901/Borger ISD                         ,611827747,480605337
117 Hutchinson CAD ,117-903/Sanford-Fritch ISD                 ,6241515,5986825
117 Hutchinson CAD ,117-904/Plemons-Stinnett-Phillips CISD     ,1054822281,484989631
117 Hutchinson CAD ,117-907/Spring Creek ISD                   ,50661732,50054272
118 Irion CAD ,118-902/Irion County ISD                   ,1534539060,1400035340
119 Jack CAD ,039-905/Midway ISD                         ,93063607,91635397
119 Jack CAD ,119-901/Bryson ISD                         ,186447737,163794317
119 Jack CAD ,119-902/Jacksboro ISD                      ,770200,770200
119 Jack CAD ,119-903/Perrin-Whitt CISD                  ,250867767,136620927
119 Jack CAD ,169-901/Bowie ISD                          ,8866386,8806526
119 Jack CAD ,182-902/Graford ISD                        ,7379515,7295705
120 Jackson CAD ,120-901/Edna ISD                           ,595231840,520813331
120 Jackson CAD ,120-902/Ganado ISD                         ,465656435,437470393
120 Jackson CAD ,120-905/Industrial ISD                     ,599599645,379171061
120 Jackson CAD ,143-901/Hallettsville ISD                  ,5921368,5887948
120 Jackson CAD ,158-905/Palacios ISD                       ,124818658,121061903
121 Jasper CAD ,121-902/Brookeland ISD                     ,209556665,190290640
121 Jasper CAD ,121-903/Buna ISD                           ,320119944,288349752
121 Jasper CAD ,121-904/Jasper ISD                         ,964088559,868176050
121 Jasper CAD ,121-905/Kirbyville CISD                    ,204757849,188240041
121 Jasper CAD ,121-906/Evadale ISD                        ,376889813,327582567
121 Jasper CAD ,181-907/Vidor ISD                          ,22512181,19896621
121 Jasper CAD ,229-901/Colmesneil ISD                     ,471081,453941
121 Jasper CAD ,229-903/Woodville ISD                      ,392136,392136
122 Jeff Davis CAD ,122-901/Fort Davis ISD                     ,178506013,171078093
122 Jeff Davis CAD ,122-902/Valentine ISD                      ,44111220,42144520
123 Jefferson CAD ,100-905/Hardin-Jefferson ISD               ,389142264,320955874
123 Jefferson CAD ,123-905/Nederland ISD                      ,2125171208,1665209298
123 Jefferson CAD ,123-907/Port Arthur ISD                    ,4011664866,3402372136
123 Jefferson CAD ,123-908/Port Neches-Groves ISD             ,2461844967,2055086957
123 Jefferson CAD ,123-910/Beaumont ISD                       ,9785029946,7628301956
123 Jefferson CAD ,123-913/Sabine Pass ISD                    ,649897731,443506741
123 Jefferson CAD ,123-914/Hamshire-Fannett ISD               ,695593000,628351050
124 Jim Hogg CAD ,124-901/Jim Hogg ISD                       ,382411722,352574872
125 Jim Wells CAD ,066-902/San Diego ISD                      ,171902292,159508782
125 Jim Wells CAD ,125-901/Alice ISD                          ,1744791204,795486111
125 Jim Wells CAD ,125-902/Ben Bolt-Palito Blanco ISD         ,78969438,70182920
125 Jim Wells CAD ,125-903/Orange Grove ISD                   ,266460881,231319312
125 Jim Wells CAD ,125-905/Premont ISD                        ,11566194,11224564
125 Jim Wells CAD ,125-906/La Gloria ISD                      ,61371993,60286986
125 Jim Wells CAD ,178-901/Agua Dulce ISD                     ,60249253,22161381
126 Johnson CAD ,111-901/Granbury ISD                       ,4465835507,4160516747
126 Johnson CAD ,126-901/Alvarado ISD                       ,1455062854,1075690320
126 Johnson CAD ,126-902/Burleson ISD                       ,2374382556,2203278527
126 Johnson CAD ,126-903/Cleburne ISD                       ,2609082385,2039886022
126 Johnson CAD ,126-904/Grandview ISD                      ,5853822,5729522
126 Johnson CAD ,126-905/Joshua ISD                         ,1362008234,1259724548
126 Johnson CAD ,126-906/Keene ISD                          ,156347181,138233096
126 Johnson CAD ,126-907/Rio Vista ISD                      ,2224566,2202886
126 Johnson CAD ,126-908/Venus ISD                          ,252846407,231348550
126 Johnson CAD ,126-911/Godley ISD                         ,96178539,96140969
126 Johnson CAD ,220-908/Mansfield ISD                      ,479131579,373763635
126 Johnson CAD ,220-912/Crowley ISD                        ,50025305,49080146
127 Jones CAD ,030-902/Clyde ISD                          ,209622216,180264966
127 Jones CAD ,076-903/Roby ISD                           ,110444730,107150490
127 Jones CAD ,104-907/Paint Creek ISD                    ,99578415,93392235
127 Jones CAD ,127-901/Anson ISD                          ,137856242,121307312
127 Jones CAD ,127-903/Hamlin ISD                         ,62991289,62738929
127 Jones CAD ,127-904/Hawley ISD                         ,130187360,99998350
127 Jones CAD ,127-905/Lueders-Avoca ISD                  ,74466204,72187074
127 Jones CAD ,127-906/Stamford ISD                       ,8389077,5316087
127 Jones CAD ,221-901/Abilene ISD                        ,70144249,39782959
127 Jones CAD ,221-904/Merkel ISD                         ,46066729,41854169
127 Jones CAD ,221-905/Trent ISD                          ,22979069,22839949
128 Karnes CAD ,013-902/Pawnee ISD                         ,262106980,204942840
128 Karnes CAD ,013-903/Pettus ISD                         ,375800595,340857395
128 Karnes CAD ,062-902/Nordheim ISD                       ,804716214,781205614
128 Karnes CAD ,089-903/Nixon-Smiley CISD                  ,1645246819,1569044469
128 Karnes CAD ,128-901/Karnes City ISD                    ,179788566,161717836
128 Karnes CAD ,128-902/Kenedy ISD                         ,1865098369,1531751245
128 Karnes CAD ,128-903/Runge ISD                          ,1165188969,1126738923
128 Karnes CAD ,128-904/Falls City ISD                     ,1010160217,954921009
129 Kaufman CAD ,116-908/Quinlan ISD                        ,663168635,626408309
129 Kaufman CAD ,129-901/Crandall ISD                       ,573593927,561986297
129 Kaufman CAD ,129-902/Forney ISD                         ,2527343993,2312414563
129 Kaufman CAD ,129-903/Kaufman ISD                        ,603518603,541215943
129 Kaufman CAD ,129-904/Kemp ISD                           ,92898856,89840309
129 Kaufman CAD ,129-905/Mabank ISD                         ,772917816,722725499
